,Parameter,sklearn RF,xgboost RF,sklearn GB,XGBoost GB,LightGBM GB
0,ACCURACY,0.771505376344086,0.7688172043010753,0.7435483870967742,0.7741935483870968,0.7419354838709677
1,F1,0.7612629955170326,0.7544441374228608,0.7321045567594873,0.760808328230251,0.7096774193548387
2,val_log,0.10670016682878916,0.09901941567659378,0.07711532491275788,0.09796594083309174,64.0
3,sum_raised_log,0.12241197113117978,0.11822570115327835,0.14544117842212928,0.12196354568004608,75.0
4,industry,0.04367055638098969,0.0884932428598404,0.04929530651656233,0.09152957797050476,69.0
5,val_rate,0.06566778358855714,0.0513121597468853,0.09280425486311311,0.05893191695213318,24.0
6,time_from_previous,0.0613651505317788,0.04255642369389534,0.0765578408626116,0.04921584203839302,21.0
7,time_from_start,0.0671067854306902,0.04916524887084961,0.10225078317802601,0.05447887256741524,29.0
8,top_investor_count,0.0828017788594551,0.11051004379987717,0.061493745402421585,0.10141748189926147,78.0
9,other_investor_count,0.04290671178993964,0.06853944063186646,0.04482165400843275,0.06597217172384262,45.0
10,Deflator,0.32534239878061744,0.29938697814941406,0.27022014503938985,0.28998762369155884,76.0
11,90dd_unicorn_premium,0.08202669667800302,0.07279139757156372,0.07999976679455555,0.06853704899549484,68.0
